AuthorID,Author,Date,Content,Attachments,Reactions
"846666693883199539",".szymk.","2026-01-18T20:36:33.3800000+00:00","What","",""
"1154255244981698652","kzi_2","2026-01-18T20:36:35.8700000+00:00","I mean we can't talk anymore","",""
"846666693883199539",".szymk.","2026-01-18T20:36:45.0920000+00:00","Where is info","",""
"1154255244981698652","kzi_2","2026-01-18T20:36:56.0740000+00:00","Check Twitter","",""
"1195410543280930827","diaxmc","2026-01-18T20:36:58.9880000+00:00","To everyone?","",""
"1154255244981698652","kzi_2","2026-01-18T20:37:01.3140000+00:00","Their official post","",""
"846666693883199539",".szymk.","2026-01-18T20:37:11.2810000+00:00","Hm
I do not have twitte","",""
"1154255244981698652","kzi_2","2026-01-18T20:37:15.3490000+00:00","They're expanding from the UK and Australia","",""
"1154255244981698652","kzi_2","2026-01-18T20:37:20.9330000+00:00","Brb","",""
"1195410543280930827","diaxmc","2026-01-18T20:37:36.2310000+00:00","To everywhere?","",""
"1154255244981698652","kzi_2","2026-01-18T20:38:07.7060000+00:00","Likely","assets/Screenshot_20260119-033757-32FDD.jpg",""
"1195410543280930827","diaxmc","2026-01-18T20:38:31.1290000+00:00","How bro got gun even","",""
"846666693883199539",".szymk.","2026-01-18T20:38:43.1140000+00:00","Well I am 16, I probably have nothin to fear","",""
"1195410543280930827","diaxmc","2026-01-18T20:38:58.6290000+00:00","AI age verification is dumb","",""
"1195410543280930827","diaxmc","2026-01-18T20:39:10.0810000+00:00","Like I mean that is mistakes a lot","",""
"1195410543280930827","diaxmc","2026-01-18T20:39:18.9270000+00:00","And you can get lower or higher age","",""
"846666693883199539",".szymk.","2026-01-18T20:39:36.6640000+00:00","Smile less and do some gestures that will show you in older image","",""
